id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,105919.0,2113369107716,1,2113369107716,69531095285,106488.0,101546.0,4037.76,3.9632,80821131448,3.97635,19946503.0,19946503.0,21000000.0,126080.0,-15.95971,2025-10-06T18:57:42.558Z,67.81,156159.35777,2013-07-06T00:00:00.000Z,,2025-11-10T08:49:11.576Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3595.25,433662273478,2,433662273478,30657813277,3647.92,3384.0,181.22,5.30819,21551791385,5.22961,120696594.3645734,120696594.3645734,,4946.05,-27.42509,2025-08-24T19:21:03.333Z,0.432979,828945.10131,2015-10-20T00:00:00.000Z,"{'times': 44.379825349547346, 'currency': 'btc', 'percentage': 4437.982534954735}",2025-11-10T08:49:02.607Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999886,183453819609,3,188920261988,99160245480,1.0,0.999509,-7.493747065879e-06,-0.00075,451953,0.00025,183470378236.2261,188937314019.2762,,1.32,-24.42454,2018-07-24T00:00:00.000Z,0.572521,74.65478,2015-03-02T00:00:00.000Z,,2025-11-10T08:49:12.339Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.48,148787863207,4,247502293773,4274362170,2.48,2.26,0.199073,8.73784,11657221875,8.50081,60107199237.0,99985774127.0,100000000000.0,3.65,-32.14752,2025-07-18T03:40:53.808Z,0.00268621,92006.01531,2014-05-22T00:00:00.000Z,,2025-11-10T08:49:10.840Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,997.4,137352225937,5,137352224202,2049716205,1017.19,979.3,11.04,1.11975,1400162536,1.02989,137737301.44,137737299.7,200000000.0,1369.99,-27.11813,2025-10-13T08:41:24.131Z,0.0398177,2507517.52846,2017-10-19T00:00:00.000Z,,2025-11-10T08:49:11.474Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,166.36,92100640946,6,102098177471,5342693319,168.6,157.52,7.2,4.5245,3875784296,4.39308,553591144.9949672,613683508.8973525,,293.31,-43.2697,2025-01-19T11:15:27.957Z,0.500801,33126.10804,2020-05-11T19:35:23.449Z,,2025-11-10T08:49:11.156Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999877,75819598722,7,75838280269,12539262196,0.9999,0.999681,7.517e-05,0.00752,130242784,0.17208,75834777518.13539,75873139294.53203,,1.17,-14.74421,2019-05-08T00:40:28.300Z,0.877647,13.91827,2023-03-11T08:02:13.981Z,,2025-11-10T08:49:12.726Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3592.83,30998402028,8,30998435534,50106479,3642.73,3383.76,180.93,5.30301,1548914455,5.25956,8632203.08983414,8632212.420246098,,4932.89,-27.23122,2025-08-24T19:21:31.902Z,482.9,643.34951,2020-12-22T04:08:21.854Z,,2025-11-10T08:49:10.968Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.29346,27779323207,9,27779323636,551084730,0.294424,0.288904,0.00398042,1.37503,371735094,1.35632,94669510959.47261,94669512421.87401,,0.431288,-31.92953,2024-12-04T00:10:40.323Z,0.00180434,16170.7554,2017-11-12T00:00:00.000Z,"{'times': 153.45277504826367, 'currency': 'usd', 'percentage': 15345.277504826368}",2025-11-10T08:49:17.930Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.180265,27340708445,10,27347652037,1888539918,0.183076,0.172749,0.00624429,3.58824,944525557,3.57827,151674246383.7052,151712766383.7052,,0.731578,-75.32496,2021-05-08T05:08:23.458Z,8.69e-05,207620.77789,2015-05-06T00:00:00.000Z,,2025-11-10T08:49:16.044Z
